microbe,metabolite,edge_type
Haemophilus parainfluenzae T3T1,Trehalose,consumption
Haemophilus parainfluenzae T3T1,L-tryptophan,consumption
Haemophilus parainfluenzae T3T1,tetradecanoate (n-C14:0),consumption
Haemophilus parainfluenzae T3T1,L-tyrosine,consumption
Haemophilus parainfluenzae T3T1,uracil,consumption
Haemophilus parainfluenzae T3T1,Uridine,consumption
Haemophilus parainfluenzae T3T1,L-valine,consumption
Parabacteroides distasonis ATCC 8503,"(S)-propane-1,2-diol",consumption
Parabacteroides distasonis ATCC 8503,N-acetylneuraminate,consumption
Parabacteroides distasonis ATCC 8503,acetate,consumption
Parabacteroides distasonis ATCC 8503,Adenosine,consumption
Parabacteroides distasonis ATCC 8503,Adenosylcobalamin,consumption
Parabacteroides distasonis ATCC 8503,D-glucose,consumption
Parabacteroides distasonis ATCC 8503,L-arabinose,consumption
Parabacteroides distasonis ATCC 8503,L-argininium(1+),consumption
Parabacteroides distasonis ATCC 8503,L-asparagine,consumption
Parabacteroides distasonis ATCC 8503,Biotin,consumption
Parabacteroides distasonis ATCC 8503,cellobiose,consumption
Parabacteroides distasonis ATCC 8503,Cytidine,consumption
Parabacteroides distasonis ATCC 8503,laurate,consumption
Parabacteroides distasonis ATCC 8503,Dextrin,consumption
Parabacteroides distasonis ATCC 8503,Formate,consumption
Parabacteroides distasonis ATCC 8503,D-Fructose,consumption
Parabacteroides distasonis ATCC 8503,D-Galactose,consumption
Parabacteroides distasonis ATCC 8503,D-Glucosamine,consumption
Parabacteroides distasonis ATCC 8503,D-gluconate,consumption
Parabacteroides distasonis ATCC 8503,D-glucuronate,consumption
Parabacteroides distasonis ATCC 8503,glycine betaine,consumption
Parabacteroides distasonis ATCC 8503,Glycerol,consumption
Parabacteroides distasonis ATCC 8503,glycolate,consumption
Parabacteroides distasonis ATCC 8503,Hydrogen,consumption
Parabacteroides distasonis ATCC 8503,Hydrogen sulfide,consumption
Parabacteroides distasonis ATCC 8503,Hexadecanoate (n-C16:0),consumption
Parabacteroides distasonis ATCC 8503,indole-3-acetate,consumption
Parabacteroides distasonis ATCC 8503,Inosine,consumption
Parabacteroides distasonis ATCC 8503,"Isobutyrate, 2-Methylpropanoate",consumption
Parabacteroides distasonis ATCC 8503,"Isovalerate, 3-Methylbutanoate",consumption
Parabacteroides distasonis ATCC 8503,Lactose,consumption
Parabacteroides distasonis ATCC 8503,L-leucine,consumption
Parabacteroides distasonis ATCC 8503,L-lysinium(1+),consumption
Parabacteroides distasonis ATCC 8503,Maltose,consumption
Parabacteroides distasonis ATCC 8503,D-Mannose,consumption
Parabacteroides distasonis ATCC 8503,Melibiose,consumption
Parabacteroides distasonis ATCC 8503,Nicotinate,consumption
Parabacteroides distasonis ATCC 8503,Ammonium,consumption
Parabacteroides distasonis ATCC 8503,Nitrite,consumption
Parabacteroides distasonis ATCC 8503,Nitrate,consumption
Parabacteroides distasonis ATCC 8503,octadecanoate (n-C18:0),consumption
Parabacteroides distasonis ATCC 8503,phenylacetate,consumption
Parabacteroides distasonis ATCC 8503,Phenylalanine,consumption
Parabacteroides distasonis ATCC 8503,propionate,consumption
Parabacteroides distasonis ATCC 8503,L-proline,consumption
Parabacteroides distasonis ATCC 8503,Putrescine,consumption
Parabacteroides distasonis ATCC 8503,Pyridoxal,consumption
Parabacteroides distasonis ATCC 8503,Raffinose,consumption
Parabacteroides distasonis ATCC 8503,L-Rhamnose,consumption
Parabacteroides distasonis ATCC 8503,Serine,consumption
Parabacteroides distasonis ATCC 8503,sulfate,consumption
Parabacteroides distasonis ATCC 8503,Spermidine,consumption
Parabacteroides distasonis ATCC 8503,Stachyose,consumption
Parabacteroides distasonis ATCC 8503,Succinate,consumption
Parabacteroides distasonis ATCC 8503,Sucrose,consumption
Parabacteroides distasonis ATCC 8503,Taurine,consumption
Parabacteroides distasonis ATCC 8503,L-threonine,consumption
Parabacteroides distasonis ATCC 8503,Thymidine,consumption
Parabacteroides distasonis ATCC 8503,Trehalose,consumption
Parabacteroides distasonis ATCC 8503,tetradecanoate (n-C14:0),consumption
Parabacteroides distasonis ATCC 8503,Uridine,consumption
Parabacteroides distasonis ATCC 8503,L-valine,consumption
Parabacteroides distasonis ATCC 8503,Xanthine,consumption
Anaerostipes caccae DSM 14662,acetaldehyde,consumption
Anaerostipes caccae DSM 14662,N-acetyl-D-glucosamine,consumption
Anaerostipes caccae DSM 14662,acetate,consumption
Anaerostipes caccae DSM 14662,L-alanine,consumption
Anaerostipes caccae DSM 14662,D-glucose,consumption
Anaerostipes caccae DSM 14662,L-arabinose,consumption
Anaerostipes caccae DSM 14662,L-asparagine,consumption
Anaerostipes caccae DSM 14662,L-aspartate(1-),consumption
Anaerostipes caccae DSM 14662,Biotin,consumption
Anaerostipes caccae DSM 14662,butyrate,consumption
Anaerostipes caccae DSM 14662,cellobiose,consumption
Anaerostipes caccae DSM 14662,Choline,consumption
Anaerostipes caccae DSM 14662,L-Carnitine,consumption
Anaerostipes caccae DSM 14662,L-cysteine,consumption
Anaerostipes caccae DSM 14662,ethanol,consumption
Anaerostipes caccae DSM 14662,Formate,consumption
Anaerostipes caccae DSM 14662,D-Fructose,consumption
Anaerostipes caccae DSM 14662,D-Galactose,consumption
Anaerostipes caccae DSM 14662,galactitol,consumption
Anaerostipes caccae DSM 14662,L-glutamine,consumption
Anaerostipes caccae DSM 14662,L-glutamate(1-),consumption
Anaerostipes caccae DSM 14662,Glycine,consumption
Anaerostipes caccae DSM 14662,glycine betaine,consumption
Anaerostipes caccae DSM 14662,Glycerol,consumption
Anaerostipes caccae DSM 14662,L-histidine,consumption
Anaerostipes caccae DSM 14662,L-leucine,consumption
Anaerostipes caccae DSM 14662,L-lysinium(1+),consumption
Anaerostipes caccae DSM 14662,Maltose,consumption
Anaerostipes caccae DSM 14662,D-Mannose,consumption
Anaerostipes caccae DSM 14662,Melibiose,consumption
Anaerostipes caccae DSM 14662,L-methionine,consumption
Anaerostipes caccae DSM 14662,D-Mannitol,consumption
Anaerostipes caccae DSM 14662,Nicotinate,consumption
Anaerostipes caccae DSM 14662,Ammonium,consumption
Anaerostipes caccae DSM 14662,oxalate(2-),consumption
Anaerostipes caccae DSM 14662,Phenylalanine,consumption
Anaerostipes caccae DSM 14662,L-proline,consumption
Anaerostipes caccae DSM 14662,Putrescine,consumption
Anaerostipes caccae DSM 14662,Pyridoxal,consumption
Anaerostipes caccae DSM 14662,Raffinose,consumption
Anaerostipes caccae DSM 14662,Riboflavin,consumption
Anaerostipes caccae DSM 14662,Serine,consumption
Anaerostipes caccae DSM 14662,sulfate,consumption
Anaerostipes caccae DSM 14662,Spermidine,consumption
Anaerostipes caccae DSM 14662,Stachyose,consumption
Anaerostipes caccae DSM 14662,Succinate,consumption
Anaerostipes caccae DSM 14662,Sucrose,consumption
Anaerostipes caccae DSM 14662,L-threonine,consumption
Anaerostipes caccae DSM 14662,L-tyrosine,consumption
Anaerostipes caccae DSM 14662,Urea,consumption
Anaerostipes caccae DSM 14662,Xanthine,consumption
Bacteroides xylanisolvens SD CC 1b,2-Oxobutanoate,consumption
Bacteroides xylanisolvens SD CC 1b,N-acetyl-D-glucosamine,consumption
Bacteroides xylanisolvens SD CC 1b,acetate,consumption
Bacteroides xylanisolvens SD CC 1b,Adenosine,consumption
Bacteroides xylanisolvens SD CC 1b,Adenosylcobalamin,consumption
Bacteroides xylanisolvens SD CC 1b,L-arabinose,consumption
Bacteroides xylanisolvens SD CC 1b,L-argininium(1+),consumption
Bacteroides xylanisolvens SD CC 1b,L-asparagine,consumption
Bacteroides xylanisolvens SD CC 1b,Biotin,consumption
Bacteroides xylanisolvens SD CC 1b,Cytidine,consumption
Bacteroides xylanisolvens SD CC 1b,laurate,consumption
Bacteroides xylanisolvens SD CC 1b,Citrate,consumption
Bacteroides xylanisolvens SD CC 1b,Formate,consumption
Bacteroides xylanisolvens SD CC 1b,D-Galactose,consumption
Bacteroides xylanisolvens SD CC 1b,galactitol,consumption
Bacteroides xylanisolvens SD CC 1b,D-Galacturonate,consumption
Bacteroides xylanisolvens SD CC 1b,D-glucuronate,consumption
Bacteroides xylanisolvens SD CC 1b,glycine betaine,consumption
Bacteroides xylanisolvens SD CC 1b,Guanosine,consumption
Bacteroides xylanisolvens SD CC 1b,Hydrogen,consumption
Bacteroides xylanisolvens SD CC 1b,Hexadecanoate (n-C16:0),consumption
