IDs: Names
806: Paenibacillus larvae
807: Paenibacillus polymyxa
812: Parabacteroides distasonis
813: Parabacteroides johnsonii
814: Parabacteroides merdae
816: Paracoccus denitrificans
820: Parvularcula bermudensis
826: Pediococcus acidilactici
827: Pediococcus pentosaceus
831: Pelobacter carbinolicus
832: Pelobacter propionicus
835: Pelotomaculum thermopropionicum
837: Peptoniphilus harei
838: Peptoniphilus lacrimalis
839: Peptostreptococcus anaerobius
840: Peptostreptococcus stomatis
850: Picrophilus torridus
860: Porphyromonas asaccharolytica
862: Porphyromonas gingivalis
864: Prevotella amnii
865: Prevotella bergensis
866: Prevotella bivia
867: Prevotella bryantii
868: Prevotella buccae
869: Prevotella buccalis
870: Prevotella copri
871: Prevotella disiens
872: Prevotella marshii
873: Prevotella melaninogenica (Bacteroides melaninogenicus)
874: Prevotella multiformis
875: Prevotella oralis
876: Prevotella oris
877: Prevotella ruminicola (Bacteroides ruminicola)
878: Prevotella salivae
879: Prevotella tannerae
880: Prevotella timonensis
881: Prevotella veroralis
883: Propionibacterium acnes
884: Propionibacterium freudenreichii (Propionibacterium shermanii)
886: Proteus mirabilis
887: Proteus penneri
895: Pseudoflavonifractor capillosus
896: Pseudomonas aeruginosa
897: Pseudomonas entomophila
898: Pseudomonas fluorescens
899: Pseudomonas mendocina
900: Pseudomonas putida
901: Pseudomonas savastanoi
902: Pseudomonas stutzeri
903: Pseudomonas syringae
910: Pyramidobacter piscolens
911: Pyrobaculum aerophilum
913: Pyrobaculum calidifontis
915: Pyrococcus abyssi
916: Pyrococcus furiosus
917: Pyrococcus horikoshii
918: Ralstonia pickettii
922: Rhizobium etli
923: Rhizobium leguminosarum
925: Rhodobacter capsulatus
926: Rhodobacter sphaeroides
933: Rhodopseudomonas palustris
934: Rhodospirillum rubrum
935: Rhodothermus marinus
952: Roseburia intestinalis
953: Roseburia inulinivorans
955: Roseobacter denitrificans
963: Ruminococcus albus
964: Ruminococcus bromii
965: Ruminococcus flavefaciens
966: Ruminococcus gnavus
967: Ruminococcus lactaris
968: Ruminococcus obeum
969: Ruminococcus torques
977: Salmonella enterica
984: Selenomonas artemidis
985: Selenomonas flueggei
986: Selenomonas noxia
987: Selenomonas sputigena
993: Shewanella denitrificans
